nombre_variable,tipo_python,tipo_analitico,n_validos,n_nulos,pct_nulos,valores_unicos,ejemplo_valores,descripcion,significado_nulos,tipo_nulo
cod,int64,numérica,1170,0,0.0,1170,"1, 2, 3",Código identificador único del registro,faltante_real_o_por_confirmar,faltante
edad,float64,numérica,1169,1,0.1,37,"26.0, 36.0, 22.0",Edad de la madre al momento de la encuesta (años),faltante_real_o_por_confirmar,faltante
region_chile,int64,numérica,1170,0,0.0,15,"1, 2, 3",Región de Chile donde reside (código numérico),faltante_real_o_por_confirmar,faltante
neduc,int64,ordinal / categórica,1170,0,0.0,7,"4, 6, 5",Nivel educacional de la madre (código numérico),faltante_real_o_por_confirmar,faltante
paridad,str,categórica / texto,1170,0,0.0,6,"1, 2, 0",Paridad: número de partos,faltante_real_o_por_confirmar,faltante
fnacimiento,datetime64[us],fecha,1037,133,11.4,822,"2015-01-15 00:00:00, 2012-03-29 00:00:00, 2011-11-22 00:00:00",Fecha de nacimiento del último hijo,faltante_real_o_por_confirmar,faltante
sexo,int64,ordinal / categórica,1170,0,0.0,3,"2, 1, 0","Sexo del último hijo (1=masc, 2=fem)",faltante_real_o_por_confirmar,faltante
pnacer,str,categórica / texto,1059,111,9.5,318,"3040, 3875, 2665",Peso al nacer del último hijo (g),faltante_real_o_por_confirmar,faltante
edad_gestacion_ultimo_hijo,str,categórica / texto,1067,103,8.8,12,"39, 38, 37",Edad gestacional del último hijo (semanas),faltante_real_o_por_confirmar,faltante
sitgest,str,categórica / texto,1170,0,0.0,21,"9, 5, 0",Situación/condición materna durante el embarazo (código),faltante_real_o_por_confirmar,faltante
preeclamsia,int64,categórica (binaria),1170,0,0.0,2,"0, 1","Presencia de preeclampsia (0=no, 1=sí)",no_aplica_si_ninguna_condicion,no_aplica
diabetes_gestacional,float64,categórica (binaria),1169,1,0.1,2,"0.0, 1.0","Presencia de diabetes gestacional (0=no, 1=sí)",no_aplica_si_ninguna_condicion,no_aplica
consumo_de_drogas_antes_o_durante_el_embarazo,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_ninguna_condicion,no_aplica
exposicion_directa_o_indirecta_al_humo_del_cigarro,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_ninguna_condicion,no_aplica
embarazo_multiple,float64,categórica (binaria),1169,1,0.1,2,"0.0, 1.0",Por confirmar,no_aplica_si_ninguna_condicion,no_aplica
exposicion_a_pesticidas,int64,categórica (binaria),1170,0,0.0,2,"1, 0",Por confirmar,no_aplica_si_ninguna_condicion,no_aplica
sitgest_1,int64,numérica,1170,0,0.0,9,"0, 1, 10",Por confirmar,faltante_real_o_por_confirmar,faltante
restriccion_del_crecimiento_intrauterino_rciu,float64,categórica (binaria),1169,1,0.1,2,"0.0, 1.0",Por confirmar,no_aplica_si_ninguna_condicion,no_aplica
otro,float64,categórica (binaria),287,883,75.5,2,"0.0, 1.0",Por confirmar,no_aplica_si_no_restriccion,no_aplica
probnac,str,categórica / texto,1169,1,0.1,14,"0, 2, 5","Problema de salud al nacer (0=no, 1=sí)",faltante_real_o_por_confirmar,faltante
consumio_suplementos_de_acido_folico_o_vitaminas_durante_su_embarazo,int64,categórica (binaria),1170,0,0.0,2,"1, 0",Por confirmar,faltante_real_o_por_confirmar,faltante
indique_el_producto_que_usted_consumio,str,categórica / texto,1170,0,0.0,197,"Folacid 1 miligramo (mg), Folisanin 1 miligramo (mg), No consumí ningún suplemen",Por confirmar,faltante_real_o_por_confirmar,faltante
folacid_1_mg,int64,categórica (binaria),1170,0,0.0,2,"1, 0",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
folacid_5_mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
folifeminaf_5mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
folisanin_1_mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
folisanin_5_mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
folvit_1,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
folvit_5,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
heliofol_1,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
heliofol_5_mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
miliser_1_mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
miliser_5_mg,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
fersitol_1,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
supradyn_prenatal,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
no_consumio,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,faltante_real_o_por_confirmar,faltante
otro_1,int64,categórica (binaria),1170,0,0.0,2,"0, 1",Por confirmar,no_aplica_si_no_consumio_af,no_aplica
