nombre_variable,tipo_python,tipo_analitico,n_validos,n_nulos,pct_nulos,valores_unicos,ejemplo_valores,descripcion,significado_nulos,tipo_nulo
marca_temporal,datetime64[us],fecha,847,6,0.7,847,"2023-08-08 20:34:15.784000, 2023-08-09 08:22:07.087000, 2023-08-09 09:59:02.6700",Fecha y hora de llenado de la encuesta,faltante_real_o_por_confirmar,faltante
motivo_eliminacion,str,categórica / texto,110,743,87.1,17,"FN RN, SV, SAF",Razón por la que el registro fue marcado para exclusión,faltante_real_o_por_confirmar,faltante
identificador_c,float64,numérica,853,0,0.0,848,"1.0, 2.0, 3.0",Identificador único del registro,faltante_real_o_por_confirmar,faltante
nacimiento_madre,datetime64[us],fecha,850,3,0.4,789,"1986-12-21 00:00:00, 1984-09-15 00:00:00, 1982-09-12 00:00:00",Fecha de nacimiento de la madre,faltante_real_o_por_confirmar,faltante
edad_madre,float64,numérica,853,0,0.0,32,"36.0, 38.0, 40.0",Edad de la madre (años),faltante_real_o_por_confirmar,faltante
nacionalidad_c,float64,numérica,853,0,0.0,5,"1.0, 2.0, 847.0",Nacionalidad de la madre (código),faltante_real_o_por_confirmar,faltante
region_c,float64,numérica,853,0,0.0,19,"2.0, 1.0, 4.0",Región de Chile (código),faltante_real_o_por_confirmar,faltante
nivel_educacional_c,float64,numérica,853,0,0.0,8,"5.0, 3.0, 4.0",Nivel educacional de la madre (código),faltante_real_o_por_confirmar,faltante
nacimiento_rn,datetime64[us],fecha,850,3,0.4,696,"2022-02-14 00:00:00, 2023-05-05 00:00:00, 1982-09-07 00:00:00",Fecha de nacimiento del recién nacido,faltante_real_o_por_confirmar,faltante
numero_embarazo,float64,numérica,853,0,0.0,8,"1.0, 3.0, 2.0",Número de embarazo de la madre,faltante_real_o_por_confirmar,faltante
primipara_c,float64,numérica,853,0,0.0,5,"1.0, 0.0, 847.0",Indicador de primiparidad (1=primípara),faltante_real_o_por_confirmar,faltante
sexo_rn_c,float64,numérica,853,0,0.0,5,"2.0, 1.0, 847.0",Sexo del recién nacido (código),faltante_real_o_por_confirmar,faltante
peso_rn,str,categórica / texto,853,0,0.0,330,"1880, 3480, 2560",Peso del recién nacido (g),faltante_real_o_por_confirmar,faltante
peso_rn_c,float64,numérica,853,0,0.0,6,"1.0, 2.0, 3.0",Por confirmar,faltante_real_o_por_confirmar,faltante
fecha_inicio_gestacion,datetime64[us],fecha,853,0,0.0,699,"2021-06-21 00:00:00, 2022-08-08 00:00:00, 1981-12-08 00:00:00",Por confirmar,faltante_real_o_por_confirmar,faltante
pandemia_c,float64,numérica,853,0,0.0,5,"1.0, 0.0, 847.0",Indicador de período pandemia COVID-19 (1=pandemia),faltante_real_o_por_confirmar,faltante
eg_rn,float64,numérica,851,2,0.2,50,"34.0, 38.57142857142857, 39.0",Edad gestacional al nacimiento (semanas),faltante_real_o_por_confirmar,faltante
eg_rn_c,float64,ordinal / categórica,846,7,0.8,5,"3.0, 2.0, 4.0",Por confirmar,faltante_real_o_por_confirmar,faltante
peso_pregestacional,str,categórica / texto,853,0,0.0,114,"52, 68, 62",Peso pregestacional de la madre (kg),faltante_real_o_por_confirmar,faltante
talla_materna,float64,numérica,853,0,0.0,43,"155.0, 162.0, 168.0",Talla de la madre (cm),faltante_real_o_por_confirmar,faltante
peso_postparto,str,categórica / texto,853,0,0.0,127,"65, 79, 67",Por confirmar,faltante_real_o_por_confirmar,faltante
delta_peso_gestacional,float64,numérica,844,9,1.1,93,"13.0, 11.0, 5.0",Por confirmar,faltante_real_o_por_confirmar,faltante
delta_peso_gestacional_c,float64,ordinal / categórica,843,10,1.2,3,"2.0, 1.0, 3.0",Por confirmar,faltante_real_o_por_confirmar,faltante
imc_pregestacional,str,categórica / texto,853,0,0.0,567,"21.64412070759625, 25.910684346898332, 21.9671201814059",IMC pregestacional de la madre,faltante_real_o_por_confirmar,faltante
imc_postparto,str,categórica / texto,853,0,0.0,596,"27.055150884495315, 30.102118579484827, 23.738662131519277",Por confirmar,faltante_real_o_por_confirmar,faltante
delta_imc,float64,numérica,844,9,1.1,563,"5.4110301768990645, 4.191434232586495, 1.7715419501133773",Por confirmar,faltante_real_o_por_confirmar,faltante
imc_pregestacional_c,float64,numérica,846,7,0.8,5,"2.0, 3.0, 4.0",Por confirmar,faltante_real_o_por_confirmar,faltante
imc_termino_c,float64,numérica,844,9,1.1,5,"3.0, 4.0, 2.0",Por confirmar,faltante_real_o_por_confirmar,faltante
condicion_o_exposiscion_materna,str,categórica / texto,850,3,0.4,21,"Preeclampsia, No estuve expuesta a ninguna de las situaciones o condiciones menc",Por confirmar,faltante_real_o_por_confirmar,faltante
condicion_materna_c,float64,numérica,853,0,0.0,7,"1.0, 3.0, 2.0",Por confirmar,faltante_real_o_por_confirmar,faltante
problema_salud_rn_c,float64,numérica,853,0,0.0,5,"0.0, 1.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
problema_salud,str,categórica / texto,85,768,90.0,70,"Frenillo lingual corto, Alergia alimentaria multiple, Tis Tea",Por confirmar,no_aplica_si_no_problema_salud_rn,no_aplica
problema_salud_c,float64,numérica,801,52,6.1,6,"5.0, 1.0, 3.0",Por confirmar,faltante_real_o_por_confirmar,faltante
consumo_saf,float64,numérica,853,0,0.0,5,"1.0, 0.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
codigo_saf,str,categórica / texto,727,126,14.8,28,"5, 4, 13",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
aporte_saf_mg_af_capsula,str,categórica / texto,727,126,14.8,14,"5, 1, x",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
dias_a_la_semana_saf,str,categórica / texto,727,126,14.8,12,"7, 6, 1",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
capsulas_saf,str,categórica / texto,727,126,14.8,8,"1, 2, 0.5",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
saf_mg_af_dia,str,categórica / texto,727,126,14.8,30,"5, 1, 0.8571428571428571",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
nombre_saf,str,categórica / texto,721,132,15.5,51,"Folisanin 5 miligramos, Folisanin 1 miligramo (mg), Consumí el del consultorio u",Por confirmar,no_aplica_si_no_consumo_saf,no_aplica
consumo_osaf,float64,numérica,853,0,0.0,5,"0.0, 1.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
codigo_osaf,float64,numérica,28,825,96.7,8,"18.0, 17.0, 24.0",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
nombre_osaf,str,categórica / texto,26,827,97.0,8,"Folifer, Cheltin, Maam vit",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
