Variable,N válidos,N nulos,% nulos,Media,Mediana,Moda,Mínimo,Máximo,Rango,Varianza,Desv. Est.,Q1,Q2,Q3,IQR,Asimetría,Curtosis,Outliers
edad_madre,853,0,0.0,34.16,34.0,33.0,21.0,49.0,28.0,23.17,4.81,31.0,34.0,37.0,6.0,-0.1,-0.15,7
peso_rn,853,0,0.0,3282.39,3322.0,3250.0,527.1,4910.0,4382.9,300330.47,548.02,3010.0,3322.0,3610.0,600.0,-0.75,2.25,40
eg_rn,853,0,0.0,38.36,38.57,38.0,28.0,42.14,14.14,2.89,1.7,38.0,38.57,39.14,1.14,-1.63,5.89,120
peso_pregestacional,853,0,0.0,70.25,67.0,80.0,14.71,845.0,830.29,936.37,30.6,59.0,67.0,78.0,19.0,19.23,483.16,21
talla_materna,853,0,0.0,160.97,160.0,160.0,144.0,184.0,40.0,37.53,6.13,157.0,160.0,165.0,8.0,0.25,0.12,5
peso_postparto,853,0,0.0,80.1,79.0,80.0,14.3,843.0,828.7,898.59,29.98,69.0,79.0,87.0,18.0,19.46,493.15,23
delta_peso_gestacional,853,0,0.0,9.91,10.0,10.0,-22.0,37.0,59.0,42.65,6.53,7.0,10.0,13.0,6.0,-0.29,3.13,57
imc_pregestacional,853,0,0.0,26.66,25.53,25.53,16.41,48.89,32.49,26.79,5.18,23.05,25.53,29.48,6.42,1.0,1.25,25
imc_postparto,853,0,0.0,31.49,30.06,31.25,5.06,843.0,837.94,800.73,28.3,26.91,30.06,33.23,6.31,27.75,796.5,23
delta_imc,853,0,0.0,4.81,3.86,0.0,-8.81,843.0,851.81,831.86,28.84,2.57,3.86,5.13,2.56,28.87,840.12,51
osaf_mg_af_dia,28,825,96.7,1.95,0.92,2.0,0.07,24.0,23.93,19.16,4.38,0.5,0.92,2.0,1.5,5.08,26.42,1
saf_osaf_mg_af_dia,853,0,0.0,3.0,1.0,1.0,0.01,691.0,690.99,560.02,23.66,1.0,1.0,5.0,4.0,28.91,841.43,3
maf_mg_af_dia,327,526,61.7,1.53,0.5,0.8,0.09,323.0,322.91,318.04,17.83,0.4,0.5,0.8,0.4,18.08,326.88,1
gr_pan_dia,838,15,1.8,125.55,134.0,168.0,12.5,847.0,834.5,4659.26,68.26,84.0,134.0,168.0,84.0,2.07,15.45,14
aporte_mg_af_unidad_pan,838,15,1.8,1.12,0.1,0.13,0.03,847.0,846.97,855.88,29.26,0.1,0.1,0.13,0.03,28.95,838.0,130
pan_mg_af_dia,838,15,1.8,1.19,0.18,0.26,0.02,847.0,846.98,855.74,29.25,0.1,0.18,0.26,0.16,28.95,837.98,11
total_af_aporte_saf_osaf_maf_pan,853,0,0.0,3.37,1.3,1.26,0.02,817.0,816.98,781.98,27.96,1.1,1.3,5.08,3.98,28.98,844.1,2
pasta_ug_af_dia,831,22,2.6,20.54,16.11,32.23,0.0,844.0,844.0,1165.39,34.14,0.05,16.11,32.23,32.18,17.07,408.12,9
total_af_aporte_pasta_pan_saf_osaf_maf,853,0,0.0,22.52,17.38,17.38,0.05,814.0,813.95,1070.22,32.71,5.29,17.38,33.49,28.2,16.79,402.29,9
