variable,tipo,n_nulos,pct_nulos,significado_nulos,accion
nombre_osaf,categorica,827,97.0,no_aplica_si_no_consumo_osaf,Se mantiene NaN (faltante semántico: no aplica)
capsulas_osaf,categorica,825,96.7,no_aplica_si_no_consumo_osaf,Se mantiene NaN (faltante semántico: no aplica)
codigo_osaf,categorica,825,96.7,no_aplica_si_no_consumo_osaf,Se mantiene NaN (faltante semántico: no aplica)
dias_a_la_semana_osaf,categorica,825,96.7,no_aplica_si_no_consumo_osaf,Se mantiene NaN (faltante semántico: no aplica)
mg_af_capsula_osaf,categorica,825,96.7,no_aplica_si_no_consumo_osaf,Se mantiene NaN (faltante semántico: no aplica)
osaf_mg_af_dia,numerica,825,96.7,no_aplica_si_no_consumo_osaf,Se mantiene NaN (faltante semántico: no aplica)
problema_salud,categorica,768,90.0,no_aplica_si_no_problema_salud_rn,Se mantiene NaN (faltante semántico: no aplica)
motivo_eliminacion,categorica,743,87.1,faltante_real_o_por_confirmar,Relleno con 'No reportado'
maf_mg_af_dia,numerica,526,61.7,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
nombre_maf,categorica,504,59.1,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
cual_maf,categorica,486,57.0,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
mg_af_capsula_maf,categorica,486,57.0,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
capsulas_maf,categorica,485,56.9,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
codigo_maf,numerica,485,56.9,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
dias_a_la_semana_maf,categorica,485,56.9,no_aplica_si_no_consumo_maf,Se mantiene NaN (faltante semántico: no aplica)
nombre_sin,categorica,378,44.3,no_aplica_si_no_consumo_sin,Se mantiene NaN (faltante semántico: no aplica)
dias_a_la_semana_sin,categorica,373,43.7,no_aplica_si_no_consumo_sin,Se mantiene NaN (faltante semántico: no aplica)
capsulas_sin,categorica,372,43.6,no_aplica_si_no_consumo_sin,Se mantiene NaN (faltante semántico: no aplica)
saf_osaf_mg_af_dia,numerica,156,18.3,faltante_real_o_por_confirmar,Imputación mediana (1.00) + indicador
nombre_saf,categorica,132,15.5,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
periodo_consumo_saf,categorica,129,15.1,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
aporte_saf_mg_af_capsula,categorica,126,14.8,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
capsulas_saf,categorica,126,14.8,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
codigo_saf,categorica,126,14.8,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
dias_a_la_semana_saf,categorica,126,14.8,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
periodo_consumo_saf_c,categorica,126,14.8,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
saf_mg_af_dia,categorica,126,14.8,no_aplica_si_no_consumo_saf,Se mantiene NaN (faltante semántico: no aplica)
problema_salud_c,categorica,53,6.2,faltante_real_o_por_confirmar,Se mantiene NaN (categoría codificada numérica)
total_af_aporte_pasta_pan_saf_osaf_maf,numerica,38,4.5,faltante_real_o_por_confirmar,Imputación mediana (17.38) + indicador
total_af_aporte_saf_osaf_maf_pan,numerica,35,4.1,faltante_real_o_por_confirmar,Imputación mediana (1.30) + indicador
saf_osaf_maf_mg_af_dia,categorica,28,3.3,faltante_real_o_por_confirmar,Relleno con 'No reportado'
gramos_pasta_dia,categorica,22,2.6,no_aplica_si_no_consumo_pastas,Se mantiene NaN (faltante semántico: no aplica)
gramos_pasta_semanal,categorica,22,2.6,no_aplica_si_no_consumo_pastas,Se mantiene NaN (faltante semántico: no aplica)
