flag_control,variable,regla,n_no_aplica,n_afectados
consumo_saf,codigo_saf,no_aplica_si_no_consumo_saf,126,126
consumo_saf,aporte_saf_mg_af_capsula,no_aplica_si_no_consumo_saf,126,1
consumo_saf,dias_a_la_semana_saf,no_aplica_si_no_consumo_saf,126,1
consumo_saf,capsulas_saf,no_aplica_si_no_consumo_saf,126,1
consumo_saf,saf_mg_af_dia,no_aplica_si_no_consumo_saf,126,1
consumo_saf,nombre_saf,no_aplica_si_no_consumo_saf,126,105
consumo_saf,periodo_consumo_saf,no_aplica_si_no_consumo_saf,126,126
consumo_saf,periodo_consumo_saf_c,no_aplica_si_no_consumo_saf,126,126
consumo_osaf,codigo_osaf,no_aplica_si_no_consumo_osaf,825,2
consumo_osaf,nombre_osaf,no_aplica_si_no_consumo_osaf,825,1
consumo_osaf,mg_af_capsula_osaf,no_aplica_si_no_consumo_osaf,825,2
consumo_osaf,dias_a_la_semana_osaf,no_aplica_si_no_consumo_osaf,825,2
consumo_osaf,capsulas_osaf,no_aplica_si_no_consumo_osaf,825,2
consumo_osaf,osaf_mg_af_dia,no_aplica_si_no_consumo_osaf,825,2
consumo_maf,nombre_maf,no_aplica_si_no_consumo_maf,484,124
consumo_maf,cual_maf,no_aplica_si_no_consumo_maf,484,12
consumo_maf,codigo_maf,no_aplica_si_no_consumo_maf,484,2
consumo_maf,mg_af_capsula_maf,no_aplica_si_no_consumo_maf,484,2
consumo_maf,dias_a_la_semana_maf,no_aplica_si_no_consumo_maf,484,2
consumo_maf,capsulas_maf,no_aplica_si_no_consumo_maf,484,2
consumo_maf,maf_mg_af_dia,no_aplica_si_no_consumo_maf,484,2
consumo_sin,nombre_sin,no_aplica_si_no_consumo_sin,0,0
consumo_sin,dias_a_la_semana_sin,no_aplica_si_no_consumo_sin,0,0
consumo_sin,capsulas_sin,no_aplica_si_no_consumo_sin,0,0
consumo_pan_c,nombre_pan,no_aplica_si_no_consumo_pan,15,5
consumo_pan_c,codigo_pan,no_aplica_si_no_consumo_pan,15,15
consumo_pan_c,gr_pan_dia,no_aplica_si_no_consumo_pan,15,15
consumo_pan_c,aporte_mg_af_unidad_pan,no_aplica_si_no_consumo_pan,15,15
consumo_pan_c,unidad_pan_dia,no_aplica_si_no_consumo_pan,15,15
consumo_pan_c,pan_mg_af_dia,no_aplica_si_no_consumo_pan,15,15
consumo_pastas_con_af,taza_pasta_con_af,no_aplica_si_no_consumo_pastas,15,1
consumo_pastas_con_af,gramos_pasta_semanal,no_aplica_si_no_consumo_pastas,15,14
consumo_pastas_con_af,gramos_pasta_dia,no_aplica_si_no_consumo_pastas,15,14
consumo_pastas_con_af,pasta_ug_af_dia,no_aplica_si_no_consumo_pastas,15,14
problema_salud_rn_c,problema_salud,no_aplica_si_no_problema_salud_rn,765,1
