CÓDIGOS ENCUESTA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pregunta de la encuesta,,Código,Significado,Comentarios,,,,,,,,,,,
1,Si usted esta de acuerdo con participar de este estudio por favor haga clic en aceptarpara comenzar a responder la encuesta.,N/A,Numérica,Se elimina,,,,,,,,,,,
2,Indique su fecha de nacimiento,N/A,Numérica,Madre,,,,,,,,,,,
3,Indique su edad,N/A,Numérica,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4,Nacionalidad,1,Chilena,,,,,,,,,,,,
,,2,Venezolana,,,,,,,,,,,,
,,3,Colombiana,,,,,,,,,,,,
,,4,Ecuatoriana,,,,,,,,,,,,
,,5,Paraguaya,,,,,,,,,,,,
,,6,Costarricense,,,,,,,,,,,,
,,7,Argentina,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5,Región dónde reside actualmente,1,Arica-Parinacota,,,,,,,,,,,,
,,2,Tarapacá,,,,,,,,,,,,
,,3,Antofagasta,,,,,,,,,,,,
,,4,Atacama,,,,,,,,,,,,
,,5,Coquimbo,,,,,,,,,,,,
,,6,Valparaíso,,,,,,,,,,,,
,,7,Metropolitana,,,,,,,,,,,,
,,8,O´Higgins,,,,,,,,,,,,
,,9,Maule,,,,,,,,,,,,
,,10,Ñuble,,,,,,,,,,,,
,,11,Bío Bío,,,,,,,,,,,,
,,12,Araucanía,,,,,,,,,,,,
,,13,Los Ríos,,,,,,,,,,,,
,,14,Los lagos,,,,,,,,,,,,
,,15,Aysén,,,,,,,,,,,,
,,16,Magallanes y Antártica Chilena,,,,,,,,,,,,
,,,,,,,,,,,,,,,
6,Nivel educacional,1,Enseñanza Básica incompleta,,,,,,,,,,,,
,,2,Enseñanza Básica completa,,,,,,,,,,,,
,,3,Enseñanza Media incompleta,,,,,,,,,,,,
,,4,Enseñanza Media completa,,,,,,,,,,,,
,,5,Enseñanza Superior incompleta,,,,,,,,,,,,
,,6,Enseñanza Superior completa (Títulada),,,,,,,,,,,,
,,7,Postgrado,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7,Fecha nacimiento último hijo,N/A,Numérica,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8,¿Qué número de embarazo fue el último?,1,Numérica,Ya lista,,,,,,,,,,,
,,2,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
9,Sexo de su último hijo/a,1,Mujer,El desconozco el sexo era pensando en las embarazadas,,,,,,,,,,,
,,2,Hombre,,,,,,,,,,,,
,,3,Desconozco el sexo,,,,,,,,,,,,
,,,,,,,,,,,,,,,
10,Peso al nacer de su último hijo en gramos,N/A,Numérica,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11,Edad gestacional desu último hijo,N/A,Numérica,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12,Peso de la madre al inicio del último embarazo (kg),N/A,Numérica,,,,,,,,,,,,
,,,,,,,,,,,,,,,
13,Peso de la madre al término del último embarazo (kg),N/A,Numérica,,,,,,,,,,,,
,,,,,,,,,,,,,,,
14,Estatura al inicio del último embarazo (cm),N/A,Numérica,,,,,,,,,,,,
,,Código antiguo,,,,,Código actual,Código,Significado,,,,,,
15,Usted tuvo antes o durante el embarazo alguna de estas condiciones o estuvo expuesta a alguna de estas situaciones,1,Diabetes gestacional,Pueden escoger más de 1 alternativa - SE RECODIFICARÁ manteniendo códifo actual,,,1,1,Condiciones o situaciones de salud directamente relacionadas con el embarazo (afectan PN),,,,,,
,,2,Preeclampsia,,,,1,2,Factores de riesgo ambientales o de comportamiento durante el embarazo (afectan PN),,,,,,
,,3,Consumo de drogas/alcohol antes o durante el embarazo,,,,2,3,No estuve expuesta a ninguna de las situaciones o condiciones mencionadas,,,,,,
,,4,Exposición directa o indirecta a humo de cigarro,,,,2,,,,,,,,
,,5,Embarazo múltiple,,,,1,,,,,,,,
,,6,Exposición a pesticidas,,,,2,,,,,,,,
,,7,No estuve expuesta a ninguna de las situaciones o condiciones mencionadas,,,,3,,,,,,,,
,,8,DM + Preeclampsia,,,,1,,,,,,,,
,,9,DM + drogas/alcohol,,,,1,,,,,,,,
