mapper_1,nodo_g1,mapper_2,nodo_g2,jaccard,n_inter
A,cube0_cluster1,B,cube1_cluster0,0.532394366197183,189
A,cube1_cluster0,B,cube1_cluster0,0.4227405247813411,145
A,cube1_cluster1,B,cube6_cluster0,0.34615384615384615,18
A,cube0_cluster1,B,cube0_cluster0,0.2849002849002849,100
A,cube1_cluster0,B,cube0_cluster0,0.2783171521035599,86
A,cube5_cluster0,B,cube5_cluster0,0.27450980392156865,42
A,cube4_cluster0,B,cube5_cluster0,0.27450980392156865,42
A,cube1_cluster1,B,cube5_cluster0,0.2236842105263158,34
A,cube4_cluster0,B,cube4_cluster0,0.21875,14
A,cube5_cluster0,B,cube4_cluster0,0.21875,14
A,cube0_cluster1,B,cube2_cluster0,0.13636363636363635,30
A,cube0_cluster2,B,cube0_cluster0,0.124,31
A,cube0_cluster0,B,cube0_cluster0,0.11284046692607004,29
A,cube1_cluster2,B,cube1_cluster0,0.10787172011661808,37
A,cube0_cluster3,B,cube1_cluster0,0.10755813953488372,37
A,cube5_cluster1,B,cube5_cluster0,0.10526315789473684,16
A,cube4_cluster1,B,cube5_cluster0,0.10457516339869281,16
A,cube7_cluster0,B,cube4_cluster0,0.09302325581395349,4
A,cube1_cluster2,B,cube0_cluster0,0.08712121212121213,23
A,cube0_cluster3,B,cube0_cluster0,0.08679245283018867,23
A,cube7_cluster0,B,cube5_cluster0,0.08609271523178808,13
A,cube4_cluster1,B,cube4_cluster0,0.08333333333333333,4
A,cube0_cluster0,B,cube1_cluster0,0.06460674157303371,23
A,cube5_cluster1,B,cube4_cluster0,0.0625,3
A,cube2_cluster0,B,cube6_cluster0,0.05555555555555555,2
A,cube5_cluster1,C,cube4_cluster5,0.65,13
A,cube4_cluster1,C,cube4_cluster5,0.6190476190476191,13
A,cube4_cluster0,C,cube4_cluster6,0.6170212765957447,29
A,cube5_cluster0,C,cube4_cluster6,0.6170212765957447,29
A,cube0_cluster2,C,cube4_cluster2,0.5714285714285714,20
A,cube1_cluster1,C,cube4_cluster4,0.5306122448979592,26
A,cube0_cluster1,C,cube4_cluster1,0.5269709543568465,127
A,cube0_cluster2,C,cube5_cluster1,0.5135135135135135,19
A,cube0_cluster0,C,cube4_cluster0,0.509090909090909,28
A,cube0_cluster4,C,cube2_cluster2,0.5,4
A,cube1_cluster2,C,cube5_cluster6,0.4772727272727273,21
A,cube7_cluster0,C,cube4_cluster3,0.47058823529411764,8
A,cube5_cluster1,C,cube5_cluster4,0.45454545454545453,10
A,cube4_cluster0,C,cube5_cluster2,0.44680851063829785,21
A,cube5_cluster0,C,cube5_cluster2,0.44680851063829785,21
A,cube1_cluster0,C,cube4_cluster1,0.4377880184331797,95
A,cube4_cluster1,C,cube5_cluster4,0.43478260869565216,10
A,cube0_cluster3,C,cube5_cluster6,0.40425531914893614,19
A,cube0_cluster3,C,cube4_cluster8,0.4,20
A,cube0_cluster1,C,cube5_cluster0,0.3852140077821012,99
A,cube1_cluster2,C,cube4_cluster8,0.35294117647058826,18
A,cube7_cluster0,C,cube5_cluster5,0.3125,5
A,cube0_cluster3,C,cube3_cluster7,0.3,12
A,cube0_cluster4,C,cube3_cluster0,0.3,3
A,cube0_cluster0,C,cube5_cluster3,0.3,18
A,cube7_cluster0,C,cube3_cluster1,0.2857142857142857,4
A,cube0_cluster4,C,cube1_cluster1,0.2857142857142857,2
A,cube1_cluster0,C,cube5_cluster0,0.2765957446808511,65
A,cube1_cluster2,C,cube3_cluster7,0.275,11
A,cube0_cluster1,C,cube3_cluster2,0.21266968325791855,47
A,cube1_cluster0,C,cube3_cluster2,0.19101123595505617,34
A,cube5_cluster0,C,cube3_cluster3,0.18,9
A,cube4_cluster0,C,cube3_cluster3,0.18,9
A,cube1_cluster2,C,cube6_cluster4,0.15,6
A,cube0_cluster3,C,cube6_cluster4,0.14634146341463414,6
A,cube0_cluster1,C,cube6_cluster0,0.13942307692307693,29
A,cube1_cluster1,C,cube3_cluster5,0.13513513513513514,5
A,cube1_cluster0,C,cube6_cluster0,0.12422360248447205,20
A,cube0_cluster2,C,cube3_cluster0,0.11428571428571428,4
A,cube1_cluster1,C,cube5_cluster0,0.1111111111111111,19
A,cube0_cluster0,C,cube3_cluster9,0.1111111111111111,4
A,cube5_cluster0,C,cube6_cluster1,0.10638297872340426,5
A,cube4_cluster0,C,cube6_cluster1,0.10638297872340426,5
A,cube0_cluster0,C,cube3_cluster6,0.1,4
A,cube5_cluster1,C,cube6_cluster5,0.09523809523809523,2
A,cube4_cluster1,C,cube6_cluster5,0.09090909090909091,2
A,cube0_cluster5,C,cube3_cluster6,0.09090909090909091,1
A,cube1_cluster1,C,cube6_cluster3,0.08333333333333333,3
A,cube2_cluster0,C,cube4_cluster4,0.075,3
A,cube2_cluster1,C,cube4_cluster4,0.075,3
A,cube1_cluster0,C,cube2_cluster1,0.07407407407407407,12
A,cube0_cluster0,C,cube6_cluster6,0.07317073170731707,3
A,cube0_cluster6,C,cube5_cluster3,0.07142857142857142,3
A,cube0_cluster1,C,cube2_cluster1,0.06976744186046512,15
A,cube0_cluster2,C,cube6_cluster2,0.06060606060606061,2
A,cube4_cluster0,C,cube2_cluster0,0.06,3
A,cube5_cluster0,C,cube2_cluster0,0.06,3
A,cube7_cluster0,D,cube14_cluster0,0.2,6
A,cube0_cluster0,D,cube12_cluster0,0.15384615384615385,10
A,cube1_cluster0,D,cube6_cluster0,0.14673913043478262,27
A,cube1_cluster0,D,cube23_cluster0,0.14367816091954022,25
A,cube1_cluster1,D,cube17_cluster0,0.14285714285714285,10
A,cube0_cluster4,D,cube19_cluster1,0.14285714285714285,1
A,cube1_cluster0,D,cube3_cluster0,0.14210526315789473,27
A,cube7_cluster0,D,cube21_cluster0,0.13043478260869565,3
A,cube0_cluster1,D,cube23_cluster0,0.12334801762114538,28
A,cube0_cluster3,D,cube29_cluster0,0.12280701754385964,7
A,cube0_cluster3,D,cube35_cluster0,0.12280701754385964,7
A,cube1_cluster1,D,cube10_cluster0,0.12244897959183673,6
A,cube4_cluster0,D,cube6_cluster0,0.12244897959183673,12
A,cube5_cluster0,D,cube6_cluster0,0.12244897959183673,12
A,cube1_cluster0,D,cube30_cluster0,0.12138728323699421,21
A,cube0_cluster0,D,cube13_cluster0,0.11650485436893204,12
A,cube5_cluster0,D,cube3_cluster0,0.11538461538461539,12
A,cube4_cluster0,D,cube3_cluster0,0.11538461538461539,12
A,cube0_cluster1,D,cube3_cluster0,0.11428571428571428,28
A,cube1_cluster1,D,cube18_cluster0,0.11363636363636363,10
A,cube0_cluster1,D,cube6_cluster0,0.1125,27
A,cube1_cluster0,D,cube7_cluster0,0.11176470588235295,19
A,cube1_cluster1,D,cube5_cluster0,0.1111111111111111,6
A,cube1_cluster1,D,cube34_cluster0,0.1111111111111111,6
A,cube1_cluster1,D,cube28_cluster0,0.1111111111111111,6
A,cube1_cluster1,D,cube33_cluster0,0.1111111111111111,6
A,cube5_cluster0,D,cube4_cluster0,0.109375,7
A,cube4_cluster0,D,cube4_cluster0,0.109375,7
A,cube0_cluster1,D,cube18_cluster0,0.1092436974789916,26
A,cube4_cluster1,D,cube23_cluster0,0.1076923076923077,7
A,cube0_cluster1,D,cube30_cluster0,0.10619469026548672,24
A,cube1_cluster2,D,cube35_cluster0,0.10526315789473684,6
A,cube1_cluster2,D,cube29_cluster0,0.10526315789473684,6
A,cube0_cluster1,D,cube11_cluster0,0.10526315789473684,24
A,cube0_cluster2,D,cube6_cluster0,0.10227272727272728,9
A,cube0_cluster3,D,cube30_cluster0,0.10126582278481013,8
A,cube5_cluster0,D,cube7_cluster0,0.1,8
A,cube4_cluster0,D,cube7_cluster0,0.1,8
A,cube4_cluster1,D,cube30_cluster0,0.09836065573770492,6
A,cube1_cluster1,D,cube27_cluster0,0.09722222222222222,7
A,cube1_cluster1,D,cube9_cluster0,0.0967741935483871,6
A,cube0_cluster2,D,cube3_cluster0,0.09574468085106383,9
A,cube0_cluster3,D,cube23_cluster0,0.09523809523809523,8
A,cube1_cluster0,D,cube11_cluster0,0.09497206703910614,17
A,cube0_cluster1,D,cube7_cluster0,0.09375,21
